address,Card Name,Mission,Standard,Shadow,Stainless Steel,Gold,Dark Matter,Ownership,Staking Weight
dczew.wam,Medical Bay,Three,2,1,1,,,,42.50
dczew.wam,Inflatable Social Hub,Three,6,,2,,,,74.00
dczew.wam,Male Engineer,Two,,5,1,,,,66.50
dczew.wam,Male Doctor,Three,2,2,3,1,,,261.00
dczew.wam,Inflatable Laboratory,Two,4,2,1,,,,51.00
dczew.wam,Female Botanist,Three,1,2,3,1,,,260.00
dczew.wam,Male Botanist,Three,,2,2,,,,81.00
dczew.wam,Buggy,Three,2,3,2,,,,89.50
dczew.wam,Inflatable Dining Hall,Three,3,1,1,,,,43.50
dczew.wam,Female Scientist,Two,1,3,1,,,,54.50
dczew.wam,Female Engineer,Two,4,5,1,,,,70.50
dczew.wam,Crew Rocketship,Two,3,4,4,,,,165.00
dczew.wam,Megapower Reactor,Three,3,2,1,,,,50.00
dczew.wam,Inflatable Sleeping Pod,Two,2,2,2,,,,83.00
dczew.wam,Male Scientist,Two,1,2,,,1,,479.00
dczew.wam,Female Doctor,Three,1,2,,1,,,158.00
dczew.wam,Communication Array,Three,1,1,,,,,7.50
dczew.wam,Inflatable Greenhouse,Two,3,2,3,,1,,583.00
dczew.wam,Fuel Generator,Three,,3,2,,,,87.50
dczew.wam,3D Printing Robot,Two,2,2,3,,,,117.00
aefwinenmars,Inflatable Greenhouse,Two,,,,,1,,465.00
c.rwc.wam,Fuel Generator,Three,,1,,,,,6.50
c.rwc.wam,Inflatable Sleeping Pod,Two,,,1,1,1,,643.00
c.rwc.wam,Inflatable Dining Hall,Three,2,3,,,,,21.50
c.rwc.wam,Male Engineer,Two,,,,,2,,930.00
c.rwc.wam,Inflatable Social Hub,Three,,1,1,,,,40.50
c.rwc.wam,Crew Rocketship,Two,,,,1,1,,609.00
c.rwc.wam,Inflatable Greenhouse,Two,,,,,1,,465.00
c.rwc.wam,Megapower Reactor,Three,3,3,,1,,,166.50
c.rwc.wam,Buggy,Three,2,3,,,1,,486.50
c.rwc.wam,3D Printing Robot,Two,,,,1,1,,609.00
c.rwc.wam,Female Scientist,Two,,,,,1,,465.00
c.rwc.wam,Male Botanist,Three,3,1,,,,,9.50
c.rwc.wam,Male Doctor,Three,1,2,,,,,14.00
c.rwc.wam,Communication Array,Three,3,1,,,,,9.50
c.rwc.wam,Female Botanist,Three,3,,,,,,3.00
c.rwc.wam,Inflatable Laboratory,Two,,,,2,1,,753.00
c.rwc.wam,Male Scientist,Two,,,,2,1,,753.00
c.rwc.wam,Female Engineer,Two,,,,,2,,930.00
c.rwc.wam,Medical Bay,Three,4,,,1,1,,613.00
c.rwc.wam,Female Doctor,Three,4,3,,,,,23.50
khmek.wam,Inflatable Greenhouse,Two,1,,3,2,7,,3646.00
khmek.wam,Female Doctor,Three,,,1,1,6,,2968.00
khmek.wam,Megapower Reactor,Three,,,,,6,,2790.00
khmek.wam,Male Scientist,Two,,3,1,,4,,1913.50
khmek.wam,Inflatable Laboratory,Two,,,,1,3,,1539.00
khmek.wam,Medical Bay,Three,,,1,1,7,,3433.00
khmek.wam,Inflatable Dining Hall,Three,,,,1,5,,2469.00
khmek.wam,Fuel Generator,Three,,,1,2,4,,2182.00
khmek.wam,Male Engineer,Two,4,,2,,5,,2397.00
khmek.wam,Male Botanist,Three,,,3,,4,,1962.00
khmek.wam,Inflatable Social Hub,Three,,,,,3,,1395.00
khmek.wam,Communication Array,Three,,,,2,9,,4473.00
khmek.wam,3D Printing Robot,Two,,,,,9,,4185.00
khmek.wam,Crew Rocketship,Two,2,1,,1,7,,3407.50
khmek.wam,Inflatable Sleeping Pod,Two,2,,2,,6,,2860.00
khmek.wam,Female Scientist,Two,1,,,,6,,2791.00
khmek.wam,Buggy,Three,,,,1,8,,3864.00
khmek.wam,Female Botanist,Three,,,1,1,5,,2503.00
khmek.wam,Male Doctor,Three,,,1,,5,,2359.00
khmek.wam,Female Engineer,Two,3,,1,,4,,1897.00
zy2wo.wam,Male Scientist,Two,,,,,1,,465.00
zy2wo.wam,Female Botanist,Three,5,1,2,1,,,223.50
zy2wo.wam,Female Doctor,Three,1,2,1,2,,,336.00
zy2wo.wam,Female Engineer,Two,,,,,1,,465.00
zy2wo.wam,Inflatable Greenhouse,Two,,,,1,2,,1074.00
zy2wo.wam,Female Scientist,Two,,,,,1,,465.00
zy2wo.wam,Fuel Generator,Three,3,2,3,1,2,,1192.00
zy2wo.wam,Megapower Reactor,Three,2,3,1,1,1,,664.50
zy2wo.wam,3D Printing Robot,Two,,,,,2,,930.00
zy2wo.wam,Male Doctor,Three,1,,1,1,2,,1109.00
zy2wo.wam,Inflatable Laboratory,Two,,,,,1,,465.00
zy2wo.wam,Male Botanist,Three,7,,,1,1,,616.00
zy2wo.wam,Medical Bay,Three,,,3,,,,102.00
zy2wo.wam,Communication Array,Three,,1,1,2,,,328.50
zy2wo.wam,Inflatable Sleeping Pod,Two,,,,,3,,1395.00
zy2wo.wam,Crew Rocketship,Two,,,,,1,,465.00
zy2wo.wam,Male Engineer,Two,,,,,1,,465.00
zy2wo.wam,Buggy,Three,5,1,1,1,,,189.50
zy2wo.wam,Inflatable Dining Hall,Three,4,1,1,2,2,,1262.50
zy2wo.wam,Inflatable Social Hub,Three,2,3,3,2,,,411.50
z3mic.wam,Medical Bay,Three,,3,,,,,19.50
z3mic.wam,Megapower Reactor,Three,,2,,,,,13.00
z3mic.wam,Fuel Generator,Three,1,5,2,,,,101.50
z3mic.wam,Communication Array,Three,5,4,1,1,,,209.00
z3mic.wam,Female Botanist,Three,1,4,,1,,,171.00
z3mic.wam,Inflatable Dining Hall,Three,2,4,1,,1,,527.00
z3mic.wam,Inflatable Social Hub,Three,1,1,,1,,,151.50
z3mic.wam,Male Botanist,Three,6,,2,,,,74.00
z3mic.wam,Male Doctor,Three,4,2,,,,,17.00
z3mic.wam,Buggy,Three,3,2,1,,,,50.00
z3mic.wam,Female Doctor,Three,,1,2,,,,74.50
b12wk.wam,Crew Rocketship,Two,,,,,1,,465.00
b12wk.wam,Male Scientist,Two,,,,,1,,465.00
b12wk.wam,Inflatable Sleeping Pod,Two,,,,,1,,465.00
b12wk.wam,3D Printing Robot,Two,,,,,1,,465.00
b12wk.wam,Male Engineer,Two,,,,,1,,465.00
b12wk.wam,Female Engineer,Two,,,,,1,,465.00
b12wk.wam,Female Scientist,Two,,,,1,1,,609.00
b12wk.wam,Inflatable Laboratory,Two,,,,,1,,465.00
b12wk.wam,Inflatable Greenhouse,Two,,,,,1,,465.00
53jww.wam,Megapower Reactor,Three,5,1,2,,,,79.50
53jww.wam,Inflatable Sleeping Pod,Two,1,,1,,,,35.00
53jww.wam,3D Printing Robot,Two,,,1,,,,34.00
53jww.wam,Male Engineer,Two,,,,,1,,465.00
53jww.wam,Inflatable Greenhouse,Two,1,1,1,,,,41.50
53jww.wam,Female Engineer,Two,1,1,,,,,7.50
53jww.wam,Medical Bay,Three,5,1,3,,,,113.50
53jww.wam,Female Botanist,Three,1,4,2,1,,,239.00
53jww.wam,Inflatable Dining Hall,Three,4,1,2,,,,78.50
53jww.wam,Female Doctor,Three,4,,,1,,,148.00
53jww.wam,Fuel Generator,Three,,2,3,,,,115.00
53jww.wam,Male Doctor,Three,2,,2,,,,70.00
53jww.wam,Inflatable Social Hub,Three,5,,3,2,,,395.00
53jww.wam,Buggy,Three,2,1,2,,,,76.50
53jww.wam,Male Scientist,Two,1,,,,,,1.00
53jww.wam,Male Botanist,Three,2,4,1,,,,62.00
53jww.wam,Communication Array,Three,3,3,1,1,,,200.50
53jww.wam,Crew Rocketship,Two,,1,,,,,6.50
53jww.wam,Female Scientist,Two,,,,1,,,144.00
53jww.wam,Inflatable Laboratory,Two,1,,1,,,,35.00
fytxy.wam,Inflatable Greenhouse,Two,,,,,1,,465.00
angnftholder,Buggy,Three,4,2,1,,,,51.00
angnftholder,Male Doctor,Three,2,4,4,1,,,308.00
angnftholder,Communication Array,Three,,3,1,,,,53.50
angnftholder,Inflatable Dining Hall,Three,1,3,2,,,,88.50
angnftholder,Male Botanist,Three,1,2,3,,,,116.00
angnftholder,Female Doctor,Three,1,2,3,,,,116.00
angnftholder,Inflatable Greenhouse,Two,,,,,1,,465.00
angnftholder,Megapower Reactor,Three,7,1,3,,,,115.50
angnftholder,Female Botanist,Three,5,1,2,2,,,367.50
angnftholder,Fuel Generator,Three,4,2,1,,,,51.00
angnftholder,Medical Bay,Three,2,3,2,,,,89.50
angnftholder,Inflatable Social Hub,Three,2,,1,2,,,324.00
angnftholder,Inflatable Laboratory,Two,,,,1,,,144.00
archaprarqon,Male Botanist,Three,,4,,1,19,,9005.00
archaprarqon,Fuel Generator,Three,,3,1,,11,,5168.50
archaprarqon,Buggy,Three,,,2,,10,,4718.00
archaprarqon,Female Engineer,Two,,,,1,5,,2469.00
archaprarqon,Inflatable Greenhouse,Two,,,5,6,66,,31724.00
archaprarqon,Female Botanist,Three,,1,2,,16,,7514.50
archaprarqon,Communication Array,Three,,1,1,,15,,7015.50
archaprarqon,Inflatable Social Hub,Three,2,2,2,,14,,6593.00
archaprarqon,Female Doctor,Three,,2,1,,12,,5627.00
archaprarqon,Inflatable Laboratory,Two,,,,,7,,3255.00
archaprarqon,Inflatable Sleeping Pod,Two,,,,,7,,3255.00
archaprarqon,Crew Rocketship,Two,,,,2,5,,2613.00
archaprarqon,Male Doctor,Three,2,2,,1,1,,624.00
archaprarqon,Inflatable Dining Hall,Three,2,,,,18,,8372.00
