address,Card Name,Mission,Standard,Shadow,Stainless Steel,Gold,Dark Matter,Ownership,Staking Weight
dczew.wam,Female Botanist,Three,1,2,4,1,,,294.00
dczew.wam,Male Doctor,Three,2,2,4,2,,,439.00
dczew.wam,3D Printing Robot,Two,2,2,3,,,,117.00
dczew.wam,Inflatable Dining Hall,Three,3,1,1,1,1,,652.50
dczew.wam,Inflatable Sleeping Pod,Two,2,2,2,,,,83.00
dczew.wam,Medical Bay,Three,2,1,2,,,,76.50
dczew.wam,Male Scientist,Two,1,2,,,1,,479.00
dczew.wam,Female Engineer,Two,4,5,1,,,,70.50
dczew.wam,Inflatable Laboratory,Two,4,2,1,,,,51.00
dczew.wam,Female Scientist,Two,1,3,1,,,,54.50
dczew.wam,Inflatable Greenhouse,Two,3,2,3,,1,,583.00
dczew.wam,Fuel Generator,Three,,3,2,,,,87.50
dczew.wam,Crew Rocketship,Two,3,4,4,,,,165.00
dczew.wam,Buggy,Three,2,3,2,,,,89.50
dczew.wam,Male Botanist,Three,,3,3,,2,,1051.50
dczew.wam,Female Doctor,Three,2,2,1,1,,,193.00
dczew.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
dczew.wam,Inflatable Social Hub,Three,6,,4,,,,142.00
dczew.wam,Male Engineer,Two,,5,1,,,,66.50
dczew.wam,Megapower Reactor,Three,4,2,2,,,,85.00
dczew.wam,Communication Array,Three,1,2,1,,2,,978.00
aefwinenmars,Inflatable Greenhouse,Two,,,,,1,,465.00
aefwinenmars,ZFT League of Martians,Community Patch,,,,,,,0.00
m22he.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
arqondesign2,Megapower Reactor,Three,4,6,2,,3,,1506.00
arqondesign2,Female Botanist,Three,5,,1,2,1,,792.00
arqondesign2,Female Doctor,Three,4,2,,,2,,947.00
arqondesign2,Male Engineer,Two,,,,1,4,,2004.00
arqondesign2,Medical Bay,Three,1,3,2,1,2,,1162.50
arqondesign2,3D Printing Robot,Two,,,,1,8,,3864.00
arqondesign2,Male Scientist,Two,,,,2,5,,2613.00
arqondesign2,Female Scientist,Two,,,,,4,,1860.00
arqondesign2,Inflatable Sleeping Pod,Two,,,,,4,,1860.00
arqondesign2,Inflatable Greenhouse,Two,,,,1,,,144.00
arqondesign2,Inflatable Laboratory,Two,,,,,7,,3255.00
arqondesign2,Crew Rocketship,Two,,,,,6,,2790.00
arqondesign2,Female Engineer,Two,,,,,6,,2790.00
arqondesign2,Buggy,Three,2,3,2,,5,,2414.50
arqondesign2,Inflatable Social Hub,Three,4,3,1,2,1,,810.50
arqondesign2,Communication Array,Three,3,3,2,,1,,555.50
arqondesign2,Male Doctor,Three,,2,2,1,2,,1155.00
arqondesign2,Male Botanist,Three,2,,1,1,1,,645.00
arqondesign2,ZFT League of Martians,Community Patch,,,,,,,0.00
arqondesign2,Fuel Generator,Three,4,3,3,,5,,2450.50
arqondesign2,Inflatable Dining Hall,Three,4,4,2,,1,,563.00
jmax.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
zy2wo.wam,Communication Array,Three,,1,1,2,,,328.50
zy2wo.wam,Crew Rocketship,Two,,,,,1,,465.00
zy2wo.wam,Female Engineer,Two,,,,1,1,,609.00
zy2wo.wam,Female Scientist,Two,,,,,1,,465.00
zy2wo.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
zy2wo.wam,Female Botanist,Three,5,1,2,1,,,223.50
zy2wo.wam,Medical Bay,Three,,,3,,,,102.00
zy2wo.wam,Inflatable Sleeping Pod,Two,,,,,3,,1395.00
zy2wo.wam,Female Doctor,Three,1,2,1,2,,,336.00
zy2wo.wam,Male Doctor,Three,1,,1,1,2,,1109.00
zy2wo.wam,Male Engineer,Two,,,,,1,,465.00
zy2wo.wam,Male Scientist,Two,,,,,1,,465.00
zy2wo.wam,Male Botanist,Three,7,,,1,1,,616.00
zy2wo.wam,Inflatable Dining Hall,Three,4,1,1,2,2,,1262.50
zy2wo.wam,Inflatable Social Hub,Three,2,3,3,2,,,411.50
zy2wo.wam,Fuel Generator,Three,3,2,3,1,2,,1192.00
zy2wo.wam,Inflatable Greenhouse,Two,,,,1,2,,1074.00
zy2wo.wam,Buggy,Three,5,1,1,1,,,189.50
zy2wo.wam,Megapower Reactor,Three,2,3,1,1,2,,1129.50
zy2wo.wam,3D Printing Robot,Two,,,,,2,,930.00
zy2wo.wam,Inflatable Laboratory,Two,,,,,1,,465.00
