address,Card Name,Mission,Standard,Shadow,Stainless Steel,Gold,Dark Matter,Ownership,Staking Weight
arqondesign2,ZFT League of Martians,Community Patch,,,,,,,0.00
zy2wo.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
hmxge.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
entvs.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
b12wk.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
53jww.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
pjzx.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
a.cxi.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
alljasar1123,ZFT League of Martians,Community Patch,,,,,,,0.00
wtkgw.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
5a5us.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
angnftholder,ZFT League of Martians,Community Patch,,,,,,,0.00
archaprarqon,ZFT League of Martians,Community Patch,,,,,,,0.00
5gjeu.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
asbhm.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
arielelelel1,ZFT League of Martians,Community Patch,,,,,,,0.00
captawesome4,ZFT League of Martians,Community Patch,,,,,,,0.00
iamskyrocket,ZFT League of Martians,Community Patch,,,,,,,0.00
w4ox.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
misfs.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
gqqv4.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
martianboy21,ZFT League of Martians,Community Patch,,,,,,,0.00
bc2wm.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
..bwc.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
2hrgq.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
arqonchino1o,ZFT League of Martians,Community Patch,,,,,,,0.00
k53wy.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
utwfy.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
csjtrading1o,ZFT League of Martians,Community Patch,,,,,,,0.00
q2bus.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
albwm.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
nftrichpanxd,ZFT League of Martians,Community Patch,,,,,,,0.00
pymxm.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
vkefm.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
zfthannahm12,ZFT League of Martians,Community Patch,,,,,,,0.00
c.uha.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
cwtuu.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
sigmajmdj323,ZFT League of Martians,Community Patch,,,,,,,0.00
3bigw.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
nftjayson132,ZFT League of Martians,Community Patch,,,,,,,0.00
2igfc.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
fsxxg.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
zo2bo.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
jehclarity23,ZFT League of Martians,Community Patch,,,,,,,0.00
5bqx2.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
.gqfi.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
yk5wq.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
.5zxg.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
omavw.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
qfwus.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
tb5uy.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
nhawu.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
heyfo.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
nemew.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
yadxi.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
vsobi.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
hxtew.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
1juww.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
uodx.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
undisclosed1,ZFT League of Martians,Community Patch,,,,,,,0.00
npcw.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
cgbhi.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
3k2gm.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
5vse2.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
gmivi.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
ghgxa.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
widx.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
xkxug.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
1nbfc.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
wdah.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
pdvxg.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
feahe.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
5nyug.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
z4gxs.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
muahm.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
grveo.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
bpdti.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
ttngy.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
u4teo.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
oogfw.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
mskgs.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
wgkfw.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
cs5eq.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
cs5eq.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
11agaglrmg51,ZFT League of Martians,Community Patch,,,,,,,0.00
cbjfs.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
hm4hg.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
lj.fa.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
kduui.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
u3ufu.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
w5dgk.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
